id,brand_name,title,year,publish_month,material,theme_series,print_size,inspiration_origin,created_at,updated_at
30000016,叹春晴,往期欣赏——【叹春晴】 画韵春秋系列 南意秋棠独家汉服印花布料,2018,Feb-18,银线雪纺,画韵春秋系列,循环印花料,"花纹元素：海棠花树，蜜蜂。
四海应无蜀海棠，一时开处一城香。晴来使府低临槛，雨后人家散出墙。",20/1/2025 17:47:17,20/6/2025 09:47:45
30000017,春色晚,往期欣赏——【春色晚】画韵春秋系列 南意秋棠独家汉服印花布料,2018,Feb-18,银线雪纺,画韵春秋系列,循环印花料,"花纹元素：墨竹，石碑。
新年都未有芳华，二月初惊见草芽。白雪却嫌春色晚，故穿庭树作飞花。",20/1/2025 17:47:17,20/6/2025 09:47:47
30000018,春风裁,往期欣赏——【春风裁】画韵春秋系列 南意秋棠独家汉服印花布料,2018,Feb-18,银线雪纺,画韵春秋系列,循环印花料,"花纹元素：垂柳，涟漪。
碧玉妆成一树高，万条垂下绿丝绦。不知细叶谁裁出，二月春风似剪刀。",20/1/2025 17:47:17,20/6/2025 09:47:48
30000019,阳春蔓,往期欣赏——【阳春蔓】画韵春秋系列 南意秋棠独家汉服印花布料,2018,Feb-18,银丝雪纺,画韵春秋系列,循环印花料,"花纹元素：紫藤花蔓。
紫藤挂云木，花蔓宜阳春。密叶隐歌鸟，香风留美人。",20/1/2025 17:47:17,18/6/2025 09:06:49
30000020,碧桃,【碧桃】【葡萄草虫】【夜合花】——临墨照影系列 南意秋棠布料,2018,Apr-18,银丝乱麻,临墨照影系列,循环印花料,"“临墨照影”为本店首次上新的系列，本系列布料取材自中国古代工笔白描线稿。“以淡墨钩勒轮廓或人物，而不设色者，谓之白描。”虽不设彩绘，然所绘之物风骨尽显，墨色衬之，深浅不一，照影于布，别有一番意趣。
本次上新的三款布料分别取自宋画小品中的《碧桃图》《葡萄草虫图》和《夜合花图》。",20/1/2025 17:47:17,17/6/2025 04:02:50
30000021,葡萄草虫,【碧桃】【葡萄草虫】【夜合花】——临墨照影系列 南意秋棠布料,2018,Apr-18,银丝乱麻,临墨照影系列,循环印花料,"“临墨照影”为本店首次上新的系列，本系列布料取材自中国古代工笔白描线稿。“以淡墨钩勒轮廓或人物，而不设色者，谓之白描。”虽不设彩绘，然所绘之物风骨尽显，墨色衬之，深浅不一，照影于布，别有一番意趣。
本次上新的三款布料分别取自宋画小品中的《碧桃图》《葡萄草虫图》和《夜合花图》。",20/1/2025 17:47:17,20/1/2025 17:47:17
30000022,夜合花,【碧桃】【葡萄草虫】【夜合花】——临墨照影系列 南意秋棠布料,2018,Apr-18,银丝乱麻,临墨照影系列,循环印花料,"“临墨照影”为本店首次上新的系列，本系列布料取材自中国古代工笔白描线稿。“以淡墨钩勒轮廓或人物，而不设色者，谓之白描。”虽不设彩绘，然所绘之物风骨尽显，墨色衬之，深浅不一，照影于布，别有一番意趣。
本次上新的三款布料分别取自宋画小品中的《碧桃图》《葡萄草虫图》和《夜合花图》。",20/1/2025 17:47:17,17/6/2025 04:02:44
30000023,袅晴丝,往期欣赏——【袅晴丝】画韵春秋系列 南意秋棠独家印花汉服布料,2018,May-18,钻石雪纺,画韵春秋系列,循环印花料,"【袅晴丝】（青瓷色/荷花色）
花纹元素：写生花蝶长卷，《牡丹亭·游园》工尺谱。
惊觉相思不露，原来只因已入骨。袅袅晴丝，袅袅情丝。邀卿卿入得园林来，方知春色如许。本款裙料设计灵感源自牡丹亭游园一折，选取宋人文俶的写生花蝶图卷，衬牡丹亭·游园一折工尺谱底纹，典雅与活泼并存，引君共赏园景。",20/1/2025 17:47:17,17/6/2025 04:17:07
30000024,试罗香,【试罗香】――长物志系列 南意秋棠独家印花汉服布料,2018,Jul-18,钻石雪纺,长物志系列,循环印花料,"【试罗香】（藤黄间色）
花纹元素：传统缠枝蝴蝶纹样
六曲阑干偎碧树，杨柳风轻，展尽黄金缕。
缠枝纹是中国古代艺术品的重要装饰纹样。纹样特征或绵延曲卷，细腻柔蔓；或婀娜多姿，妩媚娇娆。与蝴蝶纹样搭配在一起，更加生动优美，富有动感。主色调选用藤黄色深浅相间的条纹，一眼望去非常明艳动人。",20/1/2025 17:47:17,20/6/2025 09:50:37
30000025,叠萝花,往期欣赏——【叠萝花】长物志系列 南意秋棠独家印花汉服布料,2018,Jul-18,30D天丝雪纺,长物志系列,循环印花料,"花纹元素：八宝宫灯纹样
槛外奇葩江外种，娇春未减革呈红。
画楼晴日敛云峰。佛香来海岸，蜀锦荐灯笼。?
本款布料专为制作披帛设计，选用八宝宫灯纹样，仿佛藤萝花从身上缠绕垂下，纤巧秀丽，缠绵无尽。",20/1/2025 17:47:17,17/6/2025 05:13:13
30000026,如意娘,往期欣赏——【如意娘】长物志系列 南意秋棠独家印花汉服布料,2018,Jul-18,钻石雪纺,长物志系列,循环印花料,"花纹元素：传统缠枝灵芝纹样
看朱成碧思纷纷，憔悴支离为忆君。
不信比来长下泪，开箱验取石榴裙。
“灵芝”是中国古代吉祥的象征，后演变为“如意”；“缠枝”寓意生生不息，万代绵长的美好愿望，也是中国传统吉祥纹样之一。本款布料选材传统缠枝灵芝纹样，取四合如意福寿绵绵的吉祥寓意。主色调选用黑红/白红间色，唐风感非常浓郁。",20/1/2025 17:47:17,20/6/2025 09:50:08
30000027,拾翠羽,往期欣赏——【拾翠羽】长物志系列 南意秋棠独家印花汉服布料,2018,Jul-18,30D天丝雪纺,长物志系列,循环印花料,"【拾翠羽】（翠蓝/树绿）
花纹元素：凤凰团花纹、花草纹（均出自唐代绣袋纹样）
金井栏边见羽仪，梧桐树上宿寒枝。
五陵公子怜文彩，画与佳人刺绣衣。
一眼就相中的团凤纹样，与花草纹样搭配在一起，非常生动惹人喜爱。",20/1/2025 17:47:17,17/6/2025 05:13:10
30000028,木桃,往期欣赏——【木桃】画韵春秋系列 南意秋棠独家印花汉服布料,2018,Aug-18,30D天丝雪纺,画韵春秋系列,循环印花料,"【木桃】
花纹元素：工笔瓜果（选自于非闇先生作品）
投我以木桃，报之以琼瑶。
匪报也，永以为好也！
水蓝底色搭配水灵灵的大桃子，炎热的暑气都消散了有木有！桃子乃吉兆，脱单专用了解一下？",20/1/2025 17:47:17,17/6/2025 05:16:16
30000029,蝶恋花,往期欣赏——【蝶恋花】长物志系列 南意秋棠独家印花汉服布料,2018,Aug-18,30D天丝雪纺,长物志系列,循环印花料,"【蝶恋花】（暗梅红/紫藤灰）
花纹元素：牡丹蝴蝶纹样
重来直待牡丹时，只恐花知、知后故开迟。 
催花无计问东风，梦作一双蝴蝶、绕芳丛。
仲夏一梦，化作蝶儿，寻心中仙山觅山中仙姝，遥遥亦可得矣。
本款纹样选择了两种偏暖色系底色进行衬托，但又适当加入灰度，适合更多肤色的姑娘穿着。",20/1/2025 17:47:17,17/6/2025 05:16:31
30000030,采莲令,往期欣赏——【采莲令】长物志系列 南意秋棠独家印花汉服布料,2018,Aug-18,30D天丝雪纺,长物志系列,循环印花料,"【采莲令】（蟹壳青/春蓝）
花纹元素：莲花杂宝缠枝纹样
江南可采莲 ，莲叶何田田。
暑气正盛，正值采莲季节，欲往茂密荷塘寻一方清凉去处。
可爱又清爽的莲花纹样，选择了两种冷色系底色进行衬托，为您带来一缕清凉气息。",20/1/2025 17:47:17,17/6/2025 05:16:59
30000031,丹若,往期欣赏——【丹若】画韵春秋系列 南意秋棠独家印花汉服布料,2018,Oct-18,竹节仿麻,画韵春秋系列,循环印花料,"【丹若】（肉粉/玉绿）
花纹元素：折枝石榴花
庭下石榴花乱吐，满地绿阴亭午。
午睡觉来时自语，悠扬魂梦，黯然情绪，蝴蝶过墙去。
夏消秋来，石榴花谢成果，看朱成碧思纷纷，秋思缕缕烟煴袅袅，石榴裙又为谁裁来。",20/1/2025 17:47:17,17/6/2025 05:42:23
30000032,萧萧,往期欣赏——【萧萧】画韵春秋系列 南意秋棠独家印花汉服布料,2018,Oct-18,竹节仿麻,画韵春秋系列,循环印花料,"【萧萧】
花纹元素：王羲之《远宦帖》，墨竹长卷（唐寅），窗棂纹样 书法，墨竹，窗棂纹样
谁种萧萧数百竿，伴吟偏称作闲官。
不随夭艳争春色，独守孤贞待岁寒。
声拂琴床生雅趣，影侵棋局助清欢。
明年纵便量移去，犹得今冬雪里看。
唐寅竹之风骨配以王羲之远宦帖，下衬浅绢底色，儒雅书画跃然纸上。制裙穿着于身，墨竹随行走摇曳，有竹影憧憧之感，搭配羲之书法颇显风雅。窗棂纹样与书法、墨竹交相呼应，可用于制作裙头或系带，增加整体丰富性。",20/1/2025 17:47:17,17/6/2025 05:41:22
30000033,看山观涛,【看山观涛】——山河主题 执念系列 南意秋棠独家印花汉服布料,2019,Feb-19,30D天丝雪纺,执·念系列,循环印花料,"【看山观涛】（青绿/墨色）裙头
花纹元素：南宋米有仁山水画《潇湘奇观图》",20/1/2025 17:47:17,17/6/2025 05:40:46
30000034,澜生,往期欣赏——【云起】【澜生】山河主题 执念系列 南意秋棠布料,2019,Feb-19,金线雪纺,执·念系列,循环印花料,"【澜生】
花纹元素：米芾《蜀素帖》（节选），古砚雕饰海潮纹样。
书法部分选用“中华十大传世名帖”之一米芾所书《蜀素帖》，该作品自起笔到落笔“奇山异水，天下独绝”。“急湍甚箭，猛浪若奔”，笔下有海潮之势，与海潮底纹相应成趣。且笔墨纸砚乃文房四宝，缺一不可成名帖矣。海潮纹为端砚雕饰纹样，拓印化用。端砚素来纹理绮丽，各具名目，加工技艺纷繁，此处选做底纹与《蜀素帖》之结构奇险率意，变幻灵动相得益彰，盖有书砚成趣之意。底布选用金线雪纺，阳光下闪闪金光，仿若水面波光粼粼。",20/1/2025 17:47:17,17/6/2025 05:38:58
30000035,云起,往期欣赏——【云起】【澜生】山河主题 执念系列 南意秋棠布料,2019,Feb-19,金线雪纺,执·念系列,循环印花料,"【云起】
花纹元素：五岳真形图，古砚雕饰流云纹样。
《抱朴子》云：“道书之重者，莫过於三皇文，五岳真形图也。……凡修道之士栖隐山谷，须得五岳真形图佩之。其山中鬼魅精灵、虫虎妖怪，一切毒物，莫能近矣。”
本款布料的团花由五岳真形图为原型进行重组设计，随流云纹的分布而半明半暗，好似巍巍高山耸立入云，站于山脚仰视而观，峰顶若隐若现，山海相连，自有一番气势。流云纹为端砚雕饰纹样，拓印化用，砚台乃取山石，雕流水，水磨石穿的器物，刚柔相济互为表里，作为底纹凸显五岳真形之意象。底布选用金线雪纺，点点金光明灭，仿若阳光穿透云层遍洒山岳。",20/1/2025 17:47:17,17/6/2025 05:39:03
30000036,霭霭,往期欣赏——【霭霭】执念系列 南意秋棠独家印花汉服布料,2019,Feb-19,竹节仿麻,执·念系列,循环印花料,"【霭霭】（白绿/黑白）
花纹元素：传统祥云装饰纹样。
停云霭霭，时雨濛濛。八表同昏，平陆成江。
有酒有酒，闲饮东窗。愿言怀人，舟车靡从。
本款布料选用传统祥云纹样，用烟雾效果进行烘托。似雾中云海，明明灭灭，濛然细雨中，思念亦随云雾起，相隔千里，何以传书。",20/1/2025 17:47:17,17/6/2025 05:40:35
30000037,梅花笺,往期欣赏——【梅花笺】长物志系列 南意秋棠独家印花汉服布料,2019,May-19,银丝乱麻,长物志系列,循环印花料,"【梅花笺】（龙井/抹茶）（龙井/月白/暗翡翠/深雀蓝）
花纹元素：清·乾隆绿色描金松竹梅纹粉蜡笺
粉蜡笺源自于魏晋，成型于盛唐。以五色纸为原料，施以粉彩、蜡砑光。若在粉蜡笺上描金勾银，则成“描金勾蜡笺”。 乾隆喜欢用大量绘制冰梅纹以为装饰，故又有“梅花玉版笺”。本款布料即选用乾隆描金松竹梅粉蜡笺扩展设计印制。底布选用了银丝乱麻，织有均匀细银丝，光下布面有闪闪光泽，非常能体现“描金”的特征。",20/1/2025 17:47:17,17/6/2025 06:00:29
30000038,芳菲信,往期欣赏——【芳菲信】画韵春秋系列 南意秋棠独家印花汉服布料,2019,May-19,银丝乱麻,画韵春秋系列,循环印花料,"【芳菲信】
花纹元素：清代画家邹一桂《百花图》
须信漏泄风光，百花头上，报一枝消息。多少园林应次第，迤逦排红骈白。
金鼎芳滋，玉堂璀璨，趁取佳时节。东君归後，绿阴依旧南陌。
十数种花卉错落有致地分布在整条裙摆之上，仿佛把整个春天留在了身边。布料底布选用了银丝乱麻，织有均匀细银丝，光下布面有闪闪光泽，与百花甚是相称，走动时摇曳生姿。与本期另一款布料【妙常】搭配非常和谐。",20/1/2025 17:47:17,17/6/2025 06:01:55
30000039,妙常,往期欣赏——【妙常】画韵春秋系列 南意秋棠独家印花汉服布料,2019,May-19,竹节仿麻,画韵春秋系列,循环印花料,"【妙常】（原版）
花纹元素：工笔小花枝，仿文物水田衣设计元素
粉墙花影自重重，帘卷残荷水殿风，抱琴弹向月明中。
香袅金猊动，人在蓬莱第几宫。
本款布料参考水田衣文物设计排版，原版选用简洁的淡紫+白相间底色，有种静静的清冷之气，在菱格的空隙中排布四种工笔小花枝，整体表现出灵动活泼之感",20/1/2025 17:47:17,20/1/2025 17:47:17
30000040,莲衣,往期欣赏——【莲衣】画韵春秋系列 南意秋棠独家汉服印花布料,2019,Jun-19,银线雪纺,画韵春秋系列,循环印花料,"【莲衣】
花纹元素：恽寿平《山水花卉神品册》临白阳山人荷花图
莲衣宜著雨，竹锡好随云。
夏雨淅淅沥沥，泛舟十里荷塘，弄莲水湿衣，芙蓉向脸，荷叶裙裁，清凉如此，何来酷暑。底色选用非常有古韵的古画绢色，布料选用银线雪纺印制，阳光下点点银光仿若阳光照射荷瓣上的点点露珠晶莹剔透。",20/1/2025 17:47:17,17/6/2025 06:11:46
30000041,宋人牡丹,【宋人牡丹】――画韵春秋系列 南意秋棠独家设计汉服印花布料,2019,Jun-19,30D天丝雪纺,画韵春秋系列,循环印花料,"【宋人牡丹】（牡丹粉/牡丹红）
花纹元素：南宋 牡丹图
天下无双品，人间第一花。
宋人牡丹不同于唐人风格，画风柔美昳丽，层次质感处理绝佳，细节丰富，极写牡丹轻盈柔美之态。因而布底布选用轻薄材质印制，透明度高，增加了朦胧的感觉，且使得图案更加灵动，非常能体现牡丹的质感。",20/1/2025 17:47:17,17/6/2025 06:16:54
30000042,阿峤,往期欣赏——【阿峤】 执·念系列 南意秋棠独家印花布料,2019,Jun-19,银线雪纺,执·念系列,循环印花料,"【阿峤】
花纹元素：五岳真形图，古砚雕饰流云纹样。
《淮南子·泰族训》：“《诗》云：怀柔百神，及河峤岳。”
本款布料的团花由五岳真形图为原型进行重组设计，随流云纹的分布而半明半暗，好似山峰耸立入云，站于山脚仰视而观，峰顶若隐若现，山海相连，自有一番气势。流云纹为端砚雕饰纹样，拓印化用，砚台乃取山石，雕流水，水磨石穿的器物，刚柔相济互为表里，作为底纹凸显五岳真形之意象。",20/1/2025 17:47:17,10/6/2025 20:33:17
30000043,藤萝儿,往期欣赏——【白果儿】【红叶儿】【藤萝儿】南意秋棠印花布料,2019,Sep-19,树皮皱欧根纱,画韵春秋系列,单边定位裙料,"【藤萝儿】
花纹元素：紫藤花蔓
素材：清?许佑《藤花乳鸡图》
紫藤拂花树，黄鸟度青枝。?
阳春花慢慢，帘外月迟迟。
紫藤有紫气东来、紫光祥兆等吉祥寓意。紫藤花穗垂挂枝头，紫中带蓝，灿若云霞。灰褐色的枝蔓如龙蛇般蜿蜒，姿态优雅风采迷人。作为下裙面料，恰似置身紫藤花丛之中。举步移身之间，如春风拂过花树，花穗摇荡，极具动态之美。",20/1/2025 17:47:17,20/6/2025 09:51:56
30000044,白果儿,往期欣赏——【白果儿】画韵春秋系列 南意秋棠独家设计印花布料,2019,Sep-19,树皮皱欧根纱,画韵春秋系列,单边定位裙料,"【白果儿】
花纹元素：银杏叶，白果
鸭脚半熟色犹青，纱囊驰寄江陵城。
城中朱门韩林宅，清风明月吹帘笙。
玉纤雪腕白相照，烂银破壳玻璃明。
古人常以鸭脚入诗，以类银杏叶。秋风渐起，半熟鸭脚翠意犹存，累累白果随风摇曳。翩翩落叶翻飞似蝶，以银杏叶之秋香绿为底，画秋叶秋果，实则写秋意秋风，观之腋下生风，凉意如水。",17/6/2025 12:40:27,20/6/2025 09:52:02
30000045,红叶儿,往期欣赏——【红叶儿】画韵春秋系列 南意秋棠独家设计印花布料,2019,Sep-19,树皮皱欧根纱,画韵春秋系列,单边定位裙料,"【红叶儿】
花纹元素：红叶，柿子
晓连星影出，晚带日光悬。
本因遗采掇，翻自保天年。 ?
柿子是一种传统吉祥的图饰，“柿”谐音“事”，常出现在“四世同堂”、“事事安顺”、“事事如意”等吉祥图案中。柿子金黄饱满，令人垂涎欲滴，仿佛能闻到秋果儿的甜香。以金柿之色为底，布料自带缎面光泽，仿若阳光洒满林间，饱满的果实衬于翻飞红叶之间，正是秋色灿烂之所在。",17/6/2025 12:40:27,20/6/2025 09:52:04
30000046,清渠儿,往期欣赏——【清渠儿】画韵春秋系列 南意秋棠独家设计印花布料,2019,Sep-19,树皮皱欧根纱,画韵春秋系列,循环印花料,"【清渠儿】
花纹元素：池水，水藻，小鱼，落花
素材：恽寿平《山水花卉神品册》临刘莱《琳池鱼藻》
半奁香雨簇春漪。没个渔舟系。径尺横拖鸭茵翠。
鲤花肥。
乙肠可有相思字。猜量不定，几番步涩，浑欲撒沉丝。??
秋意渐寒，秋水泠泠，群鱼戏藻。鱼儿清灵自由，藻类植物飘摇婉转，虽无一笔画水，却以鱼的灵动和水藻的轻盈将秋水特有的动势表现得恰到好处。底布自带柔和光泽，恰似一江秋水，粼粼波光，搭配各类花草题材上装，恰似临花照水，相得益彰。",17/6/2025 12:40:27,20/6/2025 09:51:03
30000047,瑞鹤仙,往期欣赏——【瑞鹤仙】长物志系列 南意秋棠独家设计汉服布料,2019,Oct-19,秋香麻,长物志系列,循环印花料,"【瑞鹤仙】（妃色渐变/雀蓝渐变）
花纹元素：瑞鹤吉祥纹样折枝花
素材：波士顿美术馆藏清代汉女服饰
清代织物仙鹤图案，搭配折枝花卉。寓意吉祥，纤巧秀丽而不落俗套。布料底色的主色选用妃色、雀蓝两种传统色，为寒冷的秋冬季增添一抹艳丽色彩。",20/1/2025 17:47:17,17/6/2025 06:35:04
